,Concept,Type,Definition,Process_name,Concept_range
0,project charter,has_inputs, project charter described in section project charter. the project charter documents the project purpose  high level project description  assumptions  constraints  and high level requirements that the project is intended to satisfy. ,plan scope management,section 5.1.1.1
1,project management plan,has_inputs, project management plan described in section project management plan. project management plan components include but are not limited to    quality management plan. described in section quality management plan. the way the project and product scope will be managed can be influenced by how the organization s quality policy  methodologies  and standards are implemented on the project.   project life cycle description. the project life cycle determines the series of phases that a project passes through from its inception to the end of the project.   development approach. the development approach defines whether waterfall  iterative  adaptive  agile  or a hybrid development approach will be used. ,plan scope management,section 5.1.1.2
2,enterprise environmental factors,has_inputs, enterprise environmental factors the enterprise environmental factors that can influence the plan scope management process include but are not limited to    organization s culture    infrastructure    personnel administration  and   marketplace conditions.  ,plan scope management,section 5.1.1.3
3,organizational process assets,has_inputs, organizational process assets the organizational process assets that can influence the plan scope management process include but are not limited to    policies and procedures  and   historical information and lessons learned repositories.,plan scope management,section 5.1.1.4
4,expert judgment,has_techniques_and_tools, expert judgment described in section expert judgment expertise should be considered from individuals or groups with specialized knowledge or training in the following topics    previous similar projects  and   information in the industry  discipline  and application area. ,plan scope management,section 5.1.2.1
5,data analysis,has_techniques_and_tools,. a decision making technique that can be used in this process includes but is not limited to multicriteria decision analysis. described in section decision making  multicriteria decision analysis is a technique that uses a decision matrix to provide a systematic analytical approach for establishing criteria  such as requirements  schedule  budget  and resources  in order to refine the project and product scope for the project. ,plan scope management,section 5.1.2.2
6,meetings,has_techniques_and_tools, meetings project teams may attend project meetings to develop the scope management plan. attendees may include the project manager  the project sponsor  selected project team members  selected stakeholders  anyone with responsibility for any of the scope management processes  and others as needed. ,plan scope management,section 5.1.2.3
7,scope management plan,outputs,. the scope management plan may be updated to reflect a change in how the scope is managed.   scope baseline. described in section ,plan scope management,section 5.1.3.1
8,requirements management plan,outputs,. the requirements management plan describes how the project requirements will be managed.   change management plan. described in section project management plan. the change management plan defines the process for managing change on the project.   configuration management plan. described in section project management plan. the configuration management plan defines those items that are configurable  those items that require formal change control  and the process for controlling changes to such items.   scope baseline. described in section ,plan scope management,section 5.1.3.2
9,project documents,has_inputs, project documents examples of project documents that can be considered as inputs for this process include but are not limited to    assumption log. described in section assumption log. the assumption log identified assumptions about the product  project  environment  stakeholders  and other factors that can influence requirements.   lessons learned register. described in section lessons learned register. the lessons learned register is used to provide information on effective requirements collection techniques  especially for projects that are using an iterative or adaptive product development methodology.   stakeholder register. described in section oneoverview.overview. the stakeholder register is used to identify stakeholders who can provide information on the requirements. it also captures requirements and expectations that stakeholders have for the project. ,collect requirements,section 5.2.1.3
10,business documents,has_inputs, business documents described in section project management business documents. a business document that can influence the collect requirements process is the business case  which can describe required  desired  and optional criteria for meeting the business needs. ,collect requirements,section 5.2.1.4
11,agreements,has_inputs, agreements described in section twelve.organizational knowledge repositories. agreements can contain project and product requirements. ,collect requirements,section 5.2.1.5
12,data gathering,has_techniques_and_tools, data gathering data gathering techniques that can be used for this process include but are not limited to      brainstorming. described in section data gathering. brainstorming is a technique used to generate and collect multiple ideas related to project and product requirements. interviews. an interview is a formal or informal approach to elicit information from stakeholders by talking to them directly. it is typically performed by asking prepared and spontaneous questions and recording the responses. interviews are often conducted on an individual basis between an interviewer and an interviewee  but may involve multiple interviewers and or multiple interviewees. interviewing experienced project participants  sponsors  other executives  and subject matter experts can aid in identifying and defining the features and functions of the desired product deliverables. interviews are also useful for obtaining confidential information. focus groups. focus groups bring together prequalified stakeholders and subject matter experts to learn about their expectations and attitudes about a proposed product  service  or result. a trained moderator guides the group through an interactive discussion designed to be more conversational than a one on one interview.    questionnaires and surveys. questionnaires and surveys are written sets of questions designed to quickly accumulate information from a large number of respondents. questionnaires and or surveys are most appropriate with varied audiences  when a quick turnaround is needed  when respondents are geographically dispersed  and where statistical analysis could be appropriate.   benchmarking. described in section data gathering. benchmarking involves comparing actual or planned products  processes  and practices to those of comparable organizations to identify best practices  generate ideas for improvement  and provide a basis for measuring performance. the organizations compared during benchmarking can be internal or external. ,collect requirements,section 5.2.2.2
13,decision making,has_techniques_and_tools,. an example of decision making that may be used in this process includes but is not limited to voting. voting is used to reach a conclusion when the validation is performed by the project team and other stakeholders.,collect requirements,section 5.2.2.4
14,data representation,has_techniques_and_tools, data representation data representation techniques that can be used for this process include but are not limited to    affinity diagrams. affinity diagrams allow large numbers of ideas to be classified into groups for review and analysis.   mind mapping. mind mapping consolidates ideas created through individual brainstorming sessions into a single map to reflect commonality and differences in understanding and to generate new ideas. ,collect requirements,section 5.2.2.5
